Date	Location	MinTemp	MaxTemp	WindDir9am	RainToday	RainTomorrow
01-01-2020	Andhra Pradesh	16.9	22.9	SW	No	No
01-02-2020	Andhra Pradesh	13.9	24.1	SSE	No	No
01-03-2020	Andhra Pradesh	13.8	29.1	E	No	No
01-04-2020	Andhra Pradesh	15.1	33.3	NNE	No	No
01-05-2020	Andhra Pradesh	14.6	30.5	WSW	No	No
01-06-2020	Andhra Pradesh	15.2	31	N	No	No
01-07-2020	Andhra Pradesh	16	25.1	S	No	No
01-08-2020	Andhra Pradesh	14.3	23.8	SE	No	No
01-09-2020	Andhra Pradesh	13.8	26	SE	No	No
01-10-2020	Andhra Pradesh	13.3	28.7	WSW	No	No
01-11-2020	Andhra Pradesh	14.4	28.4	W	No	No
01-12-2020	Andhra Pradesh	14.5	35.2	SW	No	No
1/13/2020	Andhra Pradesh	21.1	41.3	N	No	No
1/14/2020	Andhra Pradesh	20	32.3	N	No	No
1/15/2020	Andhra Pradesh	15.1	25.2	S	No	No
1/16/2020	Andhra Pradesh	14.4	27.6	S	No	No
1/17/2020	Andhra Pradesh	13.3	27.2	E	No	No
1/18/2020	Andhra Pradesh	16.5	32.9	SW	No	No
1/19/2020	Andhra Pradesh	19	38.5	NNW	No	No
1/20/2020	Andhra Pradesh	19.4	36.9	NW	No	No
1/21/2020	Andhra Pradesh	17.4	29	WNW	No	No
1/22/2020	Andhra Pradesh	18.4	27.6	NNW	No	No
1/23/2020	Andhra Pradesh	14.3	27.6	N	No	No
1/24/2020	Andhra Pradesh	17.7	24.4	SW	No	No
1/25/2020	Andhra Pradesh	13.9	30.4	SSW	No	No
1/26/2020	Andhra Pradesh	16.9	36.6	SW	No	No
1/27/2020	Andhra Pradesh	21.2	43.2	NNE	No	No
1/28/2020	Andhra Pradesh	30.7	45.7	N	No	No
1/29/2020	Andhra Pradesh	33.9	43.4	N	No	No
1/30/2020	Andhra Pradesh	29.4	43.1	NE	No	No
1/31/2020	Andhra Pradesh	27.5	41.1	NW	No	No
02-01-2020	Andhra Pradesh	25.9	40.6	SSE	No	No
02-02-2020	Andhra Pradesh	28.3	38.8	SSW	No	No
02-03-2020	Andhra Pradesh	21.5	36.3	WNW	No	No
02-04-2020	Andhra Pradesh	19.3	33	NNW	No	No
02-05-2020	Andhra Pradesh	19.1	35.6	NW	No	No
02-06-2020	Andhra Pradesh	21	43.9	S	No	No
02-07-2020	Andhra Pradesh	25.8	41.5	N	No	No
02-08-2020	Andhra Pradesh	18.6	24.8	SSE	No	No
02-09-2020	Andhra Pradesh	14.7	23.3	SE	No	No
02-10-2020	Andhra Pradesh	13.7	21.1	S	No	No
02-11-2020	Andhra Pradesh	13.2	21.3	ESE	No	No
02-12-2020	Andhra Pradesh	12.5	23.8	SE	No	No
2/13/2020	Andhra Pradesh	15.2	28.8	ESE	No	No
2/14/2020	Andhra Pradesh	18.3	31.3	ENE	No	No
2/15/2020	Andhra Pradesh	17.2	30	SSW	No	No
2/16/2020	Andhra Pradesh	18.8	31.7	N	No	No
2/17/2020	Andhra Pradesh	20.9	34.2	NE	No	No
2/18/2020	Andhra Pradesh	22.2	35.4	NNE	No	No
2/19/2020	Andhra Pradesh	20.6	33	NNE	No	No
2/20/2020	Andhra Pradesh	16.3	24.9	S	No	No
2/21/2020	Andhra Pradesh	16.8	26.4	ESE	No	No
2/22/2020	Andhra Pradesh	14.5	31.4	ESE	No	No
2/23/2020	Andhra Pradesh	17.3	27.6	N	No	No
2/24/2020	Andhra Pradesh	13	27.4	N	No	No
2/25/2020	Andhra Pradesh	16.4	32.4	NE	No	No
2/26/2020	Andhra Pradesh	22.5	38.7	NNE	No	No
2/27/2020	Andhra Pradesh	26.3	32.2	NNE	No	No
2/28/2020	Andhra Pradesh	14.4	29.5	N	No	No
03-01-2020	Andhra Pradesh	15.2	24	W	No	No
03-02-2020	Andhra Pradesh	17.1	28.7	NNW	No	Yes
03-03-2020	Andhra Pradesh	20.7	23.8	NW	Yes	Yes
03-04-2020	Andhra Pradesh	14.1	21.1	WSW	Yes	No
03-05-2020	Andhra Pradesh	13.9	21.3	S	No	No
03-06-2020	Andhra Pradesh	14.6	22.1	NE	No	No
03-07-2020	Andhra Pradesh	13.4	24.4	N	No	No
03-08-2020	Andhra Pradesh	15	26.9	S	No	No
03-09-2020	Andhra Pradesh	15.1	29.6	NNW	No	No
03-10-2020	Andhra Pradesh	15.9	29.4	S	No	No
03-11-2020	Andhra Pradesh	17.4	28	ENE	No	No
03-12-2020	Andhra Pradesh	16.9	30.1	NA	No	No
3/13/2020	Andhra Pradesh	16.9	32.7	NA	No	No
3/14/2020	Andhra Pradesh	17.9	22	SW	No	No
3/15/2020	Andhra Pradesh	15.1	19.8	SW	No	Yes
3/16/2020	Andhra Pradesh	14.3	20	S	Yes	No
3/17/2020	Andhra Pradesh	14.5	22.6	ESE	No	No
3/18/2020	Andhra Pradesh	12.2	28.4	NE	No	No
3/19/2020	Andhra Pradesh	16.7	26.1	NNE	No	No
3/20/2020	Andhra Pradesh	12.5	29.8	NA	No	No
3/21/2020	Andhra Pradesh	16.4	35	NNE	No	No
3/22/2020	Andhra Pradesh	15	22.1	SSE	No	No
3/23/2020	Andhra Pradesh	11.6	24.1	NA	No	No
3/24/2020	Andhra Pradesh	14.8	22.8	NNE	No	Yes
3/25/2020	Andhra Pradesh	16.3	25.6	NE	Yes	No
3/26/2020	Andhra Pradesh	16.2	24.6	S	No	No
3/27/2020	Andhra Pradesh	10.8	23.6	ENE	No	No
3/28/2020	Andhra Pradesh	10.2	29.3	NE	No	No
3/29/2020	Andhra Pradesh	11.4	31.6	NA	No	No
3/30/2020	Andhra Pradesh	15.4	32	SW	No	No
3/31/2020	Andhra Pradesh	20.4	33.1	E	No	No
04-01-2020	Andhra Pradesh	19.3	34.1	NE	No	No
04-02-2020	Andhra Pradesh	21	33.9	SSE	No	No
04-03-2020	Andhra Pradesh	16.4	21.7	S	No	No
04-04-2020	Andhra Pradesh	11.8	20.3	SSE	No	Yes
04-05-2020	Andhra Pradesh	14.8	21	SSW	Yes	No
04-06-2020	Andhra Pradesh	13.8	17.8	SSE	No	No
04-07-2020	Andhra Pradesh	12.5	21.2	SE	No	No
04-08-2020	Andhra Pradesh	11.6	22.6	NW	No	No
04-09-2020	Andhra Pradesh	10.2	22.3	SSW	No	No
04-10-2020	Andhra Pradesh	9.4	22	NA	No	No
04-11-2020	Andhra Pradesh	9.8	25.3	NA	No	No
04-12-2020	Andhra Pradesh	10.5	28.7	S	No	No
4/13/2020	Andhra Pradesh	11.3	28.5	NNW	No	No
4/14/2020	Andhra Pradesh	14.1	24.9	N	No	No
4/15/2020	Andhra Pradesh	14.7	18.9	SW	No	No
4/16/2020	Andhra Pradesh	11.5	20.8	N	No	No
4/17/2020	Andhra Pradesh	15	21.7	W	No	No
4/18/2020	Andhra Pradesh	11.8	22.3	ENE	No	No
4/19/2020	Andhra Pradesh	12.1	22.9	ESE	No	No
4/20/2020	Andhra Pradesh	11.4	26.1	S	No	No
4/21/2020	Andhra Pradesh	14.8	27.4	NE	No	No
4/22/2020	Andhra Pradesh	14.5	28.5	NE	No	No
4/23/2020	Andhra Pradesh	21.3	22.2	NNE	No	Yes
4/24/2020	Andhra Pradesh	13.1	17.8	NW	Yes	Yes
4/25/2020	Andhra Pradesh	14.4	18.4	NNW	Yes	Yes
4/26/2020	Andhra Pradesh	9.9	16.7	SW	Yes	Yes
4/27/2020	Andhra Pradesh	11.1	19.6	SW	Yes	Yes
4/28/2020	Andhra Pradesh	8.7	17.8	NNW	Yes	No
4/29/2020	Andhra Pradesh	9.6	20.2	NE	No	No
4/30/2020	Andhra Pradesh	8.6	19.9	NE	No	No
05-01-2020	Andhra Pradesh	9.8	17.4	NE	No	Yes
05-02-2020	Andhra Pradesh	7.9	18.7	NNW	Yes	No
05-03-2020	Andhra Pradesh	6.4	18.7	N	No	No
05-04-2020	Andhra Pradesh	8.2	18.1	N	No	No
05-05-2020	Andhra Pradesh	8.1	18.9	NA	No	No
05-06-2020	Andhra Pradesh	10.7	18.1	N	No	No
05-07-2020	Andhra Pradesh	12.7	18.3	S	No	No
05-08-2020	Andhra Pradesh	10.5	17.7	ESE	No	No
05-09-2020	Andhra Pradesh	13.1	17.1	SE	No	No
05-10-2020	Andhra Pradesh	12.5	16.8	ESE	No	No
05-11-2020	Andhra Pradesh	7.2	19.8	NA	No	No
05-12-2020	Andhra Pradesh	8.2	18.8	NNE	No	Yes
5/13/2020	Andhra Pradesh	9.8	16.2	NNE	Yes	Yes
5/14/2020	Andhra Pradesh	11.7	18.5	SSW	Yes	No
5/15/2020	Andhra Pradesh	13.5	17.5	NW	No	No
5/16/2020	Andhra Pradesh	14.6	18.3	SSW	No	Yes
5/17/2020	Andhra Pradesh	13.7	16.1	NA	Yes	Yes
5/18/2020	Andhra Pradesh	13	18.6	E	Yes	No
5/19/2020	Andhra Pradesh	9.2	18.6	NA	No	No
5/20/2020	Andhra Pradesh	7.9	19.4	NA	No	No
5/21/2020	Andhra Pradesh	12.1	22.8	ENE	No	No
5/22/2020	Andhra Pradesh	13.8	22.5	NE	No	No
5/23/2020	Andhra Pradesh	17.4	21.5	NNE	No	Yes
5/24/2020	Andhra Pradesh	14.8	16.4	NE	Yes	Yes
5/25/2020	Andhra Pradesh	13.8	17.9	NW	Yes	Yes
5/26/2020	Andhra Pradesh	8.7	17.5	NA	Yes	No
5/27/2020	Andhra Pradesh	7.3	17.1	N	No	No
5/28/2020	Andhra Pradesh	8.5	15.2	NA	No	No
5/29/2020	Andhra Pradesh	6	13.9	ENE	No	No
5/30/2020	Andhra Pradesh	5.2	16.9	NNW	No	No
5/31/2020	Andhra Pradesh	10.2	18.3	ENE	No	No
06-01-2020	Andhra Pradesh	9.2	16.6	SW	No	No
06-02-2020	Andhra Pradesh	10.2	16.8	NNW	No	Yes
06-03-2020	Andhra Pradesh	6.9	17.3	N	Yes	No
06-04-2020	Andhra Pradesh	7.2	17.1	N	No	No
06-05-2020	Andhra Pradesh	6.9	17.8	NNE	No	Yes
06-06-2020	Andhra Pradesh	10.5	15.8	ENE	Yes	Yes
06-07-2020	Andhra Pradesh	9.5	15.9	NE	Yes	Yes
06-08-2020	Andhra Pradesh	10.5	14.9	WSW	Yes	Yes
06-09-2020	Andhra Pradesh	9.1	15.3	SW	Yes	No
06-10-2020	Andhra Pradesh	4.7	15	N	No	No
06-11-2020	Andhra Pradesh	3.5	15.6	NE	No	No
06-12-2020	Andhra Pradesh	9.1	13.8	NNE	No	Yes
6/13/2020	Andhra Pradesh	8.9	16.3	N	Yes	No
6/14/2020	Andhra Pradesh	10.2	11.9	N	No	Yes
6/15/2020	Andhra Pradesh	7	17.1	SW	Yes	No
6/16/2020	Andhra Pradesh	7.8	17.4	NE	No	No
6/17/2020	Andhra Pradesh	6.8	18.2	NA	No	No
6/18/2020	Andhra Pradesh	4.5	17.3	NE	No	No
6/19/2020	Andhra Pradesh	6.6	18.7	N	No	No
6/20/2020	Andhra Pradesh	12.7	15.6	N	No	No
6/21/2020	Andhra Pradesh	5	19	NNE	No	No
6/22/2020	Andhra Pradesh	9.5	18	N	No	No
6/23/2020	Andhra Pradesh	9.2	14.4	N	No	Yes
6/24/2020	Andhra Pradesh	8.7	16.2	NE	Yes	No
6/25/2020	Andhra Pradesh	10.2	16.1	ENE	No	Yes
6/26/2020	Andhra Pradesh	11.6	14	NE	Yes	No
6/27/2020	Andhra Pradesh	10.1	16.5	NA	No	No
6/28/2020	Andhra Pradesh	10	17.6	NNE	No	No
6/29/2020	Andhra Pradesh	9.7	19.3	NE	No	No
6/30/2020	Andhra Pradesh	12.3	18.8	N	No	Yes
07-01-2020	Andhra Pradesh	10.7	15.1	NNW	Yes	Yes
07-02-2020	Andhra Pradesh	10.1	14.5	W	Yes	Yes
07-03-2020	Andhra Pradesh	12.1	16	SW	Yes	Yes
07-04-2020	Andhra Pradesh	11.7	16	SSW	Yes	No
07-05-2020	Andhra Pradesh	7.9	15.1	NA	No	No
07-06-2020	Andhra Pradesh	3.6	13.2	NNE	No	No
07-07-2020	Andhra Pradesh	2.9	13.7	NE	No	No
07-08-2020	Andhra Pradesh	7.1	16.1	NE	No	No
07-09-2020	Andhra Pradesh	5.7	17.8	NNE	No	Yes
07-10-2020	Andhra Pradesh	12.7	15.7	NNE	Yes	Yes
07-11-2020	Andhra Pradesh	12.1	17.4	N	Yes	Yes
07-12-2020	Andhra Pradesh	10.8	16	N	Yes	Yes
7/13/2020	Andhra Pradesh	10.1	14.2	W	Yes	Yes
7/14/2020	Andhra Pradesh	7.1	11.9	N	Yes	Yes
7/15/2020	Andhra Pradesh	5.1	13.7	NA	Yes	Yes
7/16/2020	Andhra Pradesh	7.9	15.3	SSE	Yes	No
7/17/2020	Andhra Pradesh	7	16	NNE	No	No
7/18/2020	Andhra Pradesh	9.8	16.2	N	No	No
7/19/2020	Andhra Pradesh	10.5	18.6	N	No	No
7/20/2020	Andhra Pradesh	12	21.7	N	No	No
7/21/2020	Andhra Pradesh	14.5	19.8	NNE	No	Yes
7/22/2020	Andhra Pradesh	9.3	14.6	N	Yes	Yes
7/23/2020	Andhra Pradesh	3.6	15.2	N	Yes	No
7/24/2020	Andhra Pradesh	6.1	16.2	NNE	No	No
7/25/2020	Andhra Pradesh	8.1	16.9	NNE	No	No
7/26/2020	Andhra Pradesh	10.3	14.9	NNE	No	Yes
7/27/2020	Andhra Pradesh	10.1	14.7	NNW	Yes	Yes
7/28/2020	Andhra Pradesh	10	15.6	N	Yes	Yes
7/29/2020	Andhra Pradesh	10.5	15.6	NNW	Yes	Yes
7/30/2020	Andhra Pradesh	10.4	15.9	N	Yes	Yes
7/31/2020	Andhra Pradesh	9	15.7	N	Yes	Yes
08-01-2020	Andhra Pradesh	10.4	16.2	NW	Yes	NA
08-02-2020	Andhra Pradesh	7.7	17.6	N	NA	No
08-03-2020	Andhra Pradesh	5.8	16.5	NA	No	No
08-04-2020	Andhra Pradesh	10	15.8	N	No	No
08-05-2020	Andhra Pradesh	8.6	20.2	NE	No	No
08-06-2020	Andhra Pradesh	9	23	N	No	Yes
08-07-2020	Andhra Pradesh	10.9	15.4	SW	Yes	No
08-08-2020	Andhra Pradesh	3.3	18.1	NNE	No	No
08-09-2020	Andhra Pradesh	7.4	16.8	NE	No	No
08-10-2020	Andhra Pradesh	12.1	18.4	NNE	No	No
08-11-2020	Andhra Pradesh	11.3	17.1	N	No	No
08-12-2020	Andhra Pradesh	10.8	17.6	N	No	No
8/13/2020	Andhra Pradesh	6.6	18.2	NE	No	No
8/14/2020	Andhra Pradesh	6.3	22	NE	No	No
8/15/2020	Andhra Pradesh	14.1	26.7	N	No	Yes
8/16/2020	Andhra Pradesh	11.3	16.5	NNW	Yes	Yes
8/17/2020	Andhra Pradesh	11.1	17.2	WNW	Yes	No
8/18/2020	Andhra Pradesh	6.8	21.2	NE	No	No
8/19/2020	Andhra Pradesh	13.8	20.9	NE	No	No
8/20/2020	Andhra Pradesh	9.8	22.4	NNE	No	No
8/21/2020	Andhra Pradesh	13.6	15.7	WSW	No	No
8/22/2020	Andhra Pradesh	7.9	17.4	NNE	No	No
8/23/2020	Andhra Pradesh	8.8	19	N	No	Yes
8/24/2020	Andhra Pradesh	9.9	14.6	N	Yes	Yes
8/25/2020	Andhra Pradesh	7.7	15.3	NW	Yes	Yes
8/26/2020	Andhra Pradesh	10.3	15.6	WNW	Yes	No
8/27/2020	Andhra Pradesh	7.9	17.7	N	No	No
8/28/2020	Andhra Pradesh	7	22.9	NNE	No	Yes
8/29/2020	Andhra Pradesh	12.9	16.4	WNW	Yes	Yes
8/30/2020	Andhra Pradesh	9.2	15.4	WNW	Yes	Yes
8/31/2020	Andhra Pradesh	10.5	17	WNW	Yes	Yes
09-01-2020	Andhra Pradesh	10.9	18	N	Yes	No
09-02-2020	Andhra Pradesh	11.1	21.6	NE	No	No
09-03-2020	Andhra Pradesh	10	17.8	WNW	No	Yes
09-04-2020	Andhra Pradesh	9.4	15.7	W	Yes	No
09-05-2020	Andhra Pradesh	11	16.4	WNW	No	No
09-06-2020	Andhra Pradesh	11.3	19.3	N	No	Yes
09-07-2020	Andhra Pradesh	11.8	17.5	SW	Yes	No
09-08-2020	Andhra Pradesh	10	14.8	S	No	No
09-09-2020	Andhra Pradesh	10.6	15.5	SE	No	No
09-10-2020	Andhra Pradesh	4.8	22.6	NNE	No	No
09-11-2020	Andhra Pradesh	14.2	29.4	N	No	No
09-12-2020	Andhra Pradesh	11.9	30.9	N	No	No
9/13/2020	Andhra Pradesh	12.9	18.9	NW	No	No
9/14/2020	Andhra Pradesh	6.5	16.9	N	No	No
9/15/2020	Andhra Pradesh	6	24.4	N	No	No
9/16/2020	Andhra Pradesh	16.3	26.2	NE	No	Yes
9/17/2020	Andhra Pradesh	14.2	17.4	SSW	Yes	No
9/18/2020	Andhra Pradesh	6.2	22	NE	No	NA
9/19/2020	Andhra Pradesh	13.5	18.5	SW	NA	NA
9/20/2020	Andhra Pradesh	8.4	18.9	WNW	NA	No
9/21/2020	Andhra Pradesh	8.1	17.8	ENE	No	Yes
9/22/2020	Andhra Pradesh	9.9	17.1	NNW	Yes	Yes
9/23/2020	Andhra Pradesh	11.1	16.9	WSW	Yes	No
9/24/2020	Andhra Pradesh	12.4	20.4	WNW	No	Yes
9/25/2020	Andhra Pradesh	11.8	14.8	NW	Yes	Yes
9/26/2020	Andhra Pradesh	8.2	15.2	SW	Yes	Yes
9/27/2020	Andhra Pradesh	9.4	14.8	SW	Yes	No
9/28/2020	Andhra Pradesh	7.2	17.5	NNW	No	No
9/29/2020	Andhra Pradesh	8.5	23.1	NNE	No	No
9/30/2020	Andhra Pradesh	17.4	26.3	NNE	No	No
10-01-2020	Andhra Pradesh	11.7	18.7	SSE	No	No
10-02-2020	Andhra Pradesh	11.5	15.1	SSW	No	No
10-03-2020	Andhra Pradesh	9.6	16.4	SSW	No	No
10-04-2020	Andhra Pradesh	8.5	17.9	N	No	No
10-05-2020	Andhra Pradesh	10.8	17.8	WNW	No	No
10-06-2020	Andhra Pradesh	6	18.1	NE	No	No
10-07-2020	Andhra Pradesh	6.1	16.9	ESE	No	No
10-08-2020	Andhra Pradesh	8.2	17.1	E	No	No
10-09-2020	Andhra Pradesh	7.9	17.1	E	No	No
10-10-2020	Andhra Pradesh	8.3	22.3	ENE	No	No
10-11-2020	Andhra Pradesh	15.9	27.6	NE	No	Yes
10-12-2020	Andhra Pradesh	12.3	16.4	WNW	Yes	Yes
10/13/2020	Andhra Pradesh	10.4	16	W	Yes	Yes
10/14/2020	Andhra Pradesh	11.6	16.5	SW	Yes	No
10/15/2020	Andhra Pradesh	12.1	16.1	SW	No	Yes
10/16/2020	Andhra Pradesh	9.5	16.2	SW	Yes	No
10/17/2020	Andhra Pradesh	10.4	17.4	S	No	No
10/18/2020	Andhra Pradesh	6.1	20.6	NNE	No	No
10/19/2020	Andhra Pradesh	8.9	27.7	NNE	No	No
10/20/2020	Andhra Pradesh	16.7	30.5	NNE	No	No
10/21/2020	Andhra Pradesh	13.1	22.7	SE	No	No
10/22/2020	Andhra Pradesh	10.8	25.6	SE	No	No
10/23/2020	Andhra Pradesh	11.7	27.4	N	No	No
10/24/2020	Andhra Pradesh	15.6	27.3	NA	No	No
10/25/2020	Andhra Pradesh	11.9	18.1	SSE	No	No
10/26/2020	Andhra Pradesh	9.9	20.4	SE	No	No
10/27/2020	Andhra Pradesh	11.9	26.3	ENE	No	No
